target_id	length	eff_length	est_counts	tpm
ENSMUST00000178537	12	13	0	0
ENSMUST00000178862	14	15	0	0
ENSMUST00000177564	16	17	0	0
ENSMUST00000179664	11	12	0	0
ENSMUST00000179883	16	17	0	0
ENSMUST00000195858	10	11	0	0
ENSMUST00000179932	12	13	0	0
ENSMUST00000180001	17	1	0	0
ENSMUST00000180266	17	1	0	0
ENSMUST00000103441	23	7	0	0
ENSMUST00000178815	10	11	0	0
ENSMUST00000177965	17	1	0	0
ENSMUST00000178909	29	13	0	0
ENSMUST00000177646	10	11	0	0
ENSMUST00000178230	17	1	0	0
ENSMUST00000178483	29	13	0	0
ENSMUST00000179262	10	11	0	0
ENSMUST00000178549	17	1	0	0
ENSMUST00000193012	29	13	0	0
ENSMUST00000179166	10	11	0	0
ENSMUST00000179560	17	1	0	0
ENSMUST00000179520	11	12	0	0
ENSMUST00000177839	17	1	0	0
ENSMUST00000103439	23	7	0	0
ENSMUST00000103586	357	209.89	0	0
ENSMUST00000181360	434	285.815	0	0
ENSMUST00000183652	344	197.239	0	0
ENSMUST00000103588	395	247.236	0	0
ENSMUST00000103674	445	296.785	0	0
ENSMUST00000181038	414	266.033	0	0
ENSMUST00000187138	340	193.396	0	0
ENSMUST00000180380	384	236.358	0	0
ENSMUST00000184905	264	122.939	0	0
ENSMUST00000180972	424	275.898	0	0
ENSMUST00000180859	621	472.44	0	0
ENSMUST00000103589	383	235.381	0	0
ENSMUST00000103616	417	268.98	0	0
ENSMUST00000186370	349	202.119	0	0
ENSMUST00000103636	401	253.136	0	0
ENSMUST00000103670	457	308.666	0	0
ENSMUST00000103263	560	411.525	0	0
ENSMUST00000103264	455	306.666	0	0
ENSMUST00000103637	369	221.608	0	0
ENSMUST00000180549	386	238.358	0	0
ENSMUST00000183604	305	160.309	0	0
ENSMUST00000103657	440	291.815	0	0
ENSMUST00000180938	359	211.869	0	0
ENSMUST00000103262	417	268.98	0	0
ENSMUST00000103672	453	304.666	0	0
ENSMUST00000186545	338	191.474	0	0
ENSMUST00000177622	401	253.136	0	0
ENSMUST00000103658	389	241.31	0	0
ENSMUST00000103265	393	245.285	0	0
ENSMUST00000103266	368	220.608	0	0
ENSMUST00000181483	345	198.219	0	0
ENSMUST00000184883	308	163.047	0	0
ENSMUST00000103673	327	180.866	0	0
ENSMUST00000186573	325	179.047	0	0
ENSMUST00000103676	416	267.98	0	0
ENSMUST00000187163	334	187.588	0	0
ENSMUST00000193064	367	219.63	0	0
ENSMUST00000103280	344	197.239	0	0
ENSMUST00000103281	353	206.078	0	0
ENSMUST00000179789	401	253.136	0	0
ENSMUST00000180717	376	228.474	0	0
ENSMUST00000183820	338	191.474	0	0
ENSMUST00000178768	449	300.696	0	0
ENSMUST00000103580	399	251.161	0	0
