target_id	length	eff_length	est_counts	tpm
ENSMUST00000178537	12	4	0	0
ENSMUST00000178862	14	4	0	0
ENSMUST00000177564	16	6	0	0
ENSMUST00000179664	11	3	0	0
ENSMUST00000179883	16	6	0	0
ENSMUST00000195858	10	2	0	0
ENSMUST00000179932	12	4	0	0
ENSMUST00000180001	17	7	0	0
ENSMUST00000180266	17	7	0	0
ENSMUST00000103441	23	13	0	0
ENSMUST00000178815	10	2	0	0
ENSMUST00000177965	17	7	0	0
ENSMUST00000178909	29	19	0	0
ENSMUST00000177646	10	2	0	0
ENSMUST00000178230	17	7	0	0
ENSMUST00000178483	29	19	0	0
ENSMUST00000179262	10	2	0	0
ENSMUST00000178549	17	7	0	0
ENSMUST00000193012	29	19	0	0
ENSMUST00000179166	10	2	0	0
ENSMUST00000179560	17	7	0	0
ENSMUST00000179520	11	3	0	0
ENSMUST00000177839	17	7	0	0
ENSMUST00000103439	23	13	0	0
ENSMUST00000103586	357	212.489	0	0
ENSMUST00000181360	434	288.245	0	0
ENSMUST00000183652	344	199.778	0	0
ENSMUST00000103588	395	249.843	0	0
ENSMUST00000103674	445	299.215	0	0
ENSMUST00000181038	414	268.688	0	0
ENSMUST00000187138	340	195.977	0	0
ENSMUST00000180380	384	239.087	0	0
ENSMUST00000184905	264	124.354	0	0
ENSMUST00000180972	424	278.47	0	0
ENSMUST00000180859	621	474.814	1	0.075803
ENSMUST00000103589	383	238.087	0	0
ENSMUST00000103616	417	271.661	0	0
ENSMUST00000186370	349	204.676	0	0
ENSMUST00000103636	401	255.792	0	0
ENSMUST00000103670	457	311.033	0	0
ENSMUST00000103263	560	413.86	0	0
ENSMUST00000103264	455	309.064	0	0
ENSMUST00000103637	369	224.248	0	0
ENSMUST00000180549	386	240.991	0	0
ENSMUST00000183604	305	162.184	0	0
ENSMUST00000103657	440	294.245	0	0
ENSMUST00000180938	359	214.467	0	0
ENSMUST00000103262	417	271.661	0	0
ENSMUST00000103672	453	307.095	0	0
ENSMUST00000186545	338	193.997	0	0
ENSMUST00000177622	401	255.792	0	0
ENSMUST00000103658	389	243.942	0	0
ENSMUST00000103265	393	247.843	0	0
ENSMUST00000103266	368	223.248	0	0
ENSMUST00000181483	345	200.778	0	0
ENSMUST00000184883	308	165.084	0	0
ENSMUST00000103673	327	183.395	0	0
ENSMUST00000186573	325	181.505	0	0
ENSMUST00000103676	416	270.661	0	0
ENSMUST00000187163	334	190.113	0	0
ENSMUST00000193064	367	222.271	0	0
ENSMUST00000103280	344	199.778	0	0
ENSMUST00000103281	353	208.573	0	0
ENSMUST00000179789	401	255.792	0	0
ENSMUST00000180717	376	231.134	0	0
ENSMUST00000183820	338	193.997	0	0
ENSMUST00000178768	449	303.095	0	0
ENSMUST00000103580	399	253.843	0	0
ENSMUST00000103567	369	224.248	0	0
ENSMUST00000185651	329	185.301	0	0
ENSMUST00000180711	376	231.134	0	0
ENSMUST00000184650	338	193.997	0	0
ENSMUST00000181728	449	303.095	0	0
ENSMUST00000193003	416	270.661	0	0
ENSMUST00000103300	334	190.113	0	0
ENSMUST00000178426	444	298.215	0	0
ENSMUST00000180687	473	326.97	0	0
ENSMUST00000103643	327	183.395	0	0
ENSMUST00000103581	397	251.843	0	0
ENSMUST00000181210	373	228.203	0	0
ENSMUST00000183488	335	191.074	0	0
ENSMUST00000191646	335	191.074	0	0
ENSMUST00000103282	332	188.17	0	0
ENSMUST00000103646	405	259.767	0	0
ENSMUST00000181793	404	258.767	0	0
ENSMUST00000103648	359	214.467	0	0
ENSMUST00000179267	386	240.991	0	0
ENSMUST00000184874	276	135.243	0	0
ENSMUST00000103660	386	240.991	0	0
ENSMUST00000181768	418	272.607	0	0
ENSMUST00000183835	276	135.243	0	0
ENSMUST00000103267	389	243.942	0	0
ENSMUST00000194399	366	221.293	0	0
ENSMUST00000103268	334	190.113	0	0
ENSMUST00000103269	385	240.063	0	0
ENSMUST00000103270	340	195.977	0	0
ENSMUST00000103662	394	248.843	0	0
ENSMUST00000103271	340	195.977	0	0
ENSMUST00000103272	368	223.248	0	0
ENSMUST00000103273	370	225.226	0	0
ENSMUST00000103274	398	252.843	0	0
ENSMUST00000103275	374	229.18	0	0
