target_id	length	eff_length	est_counts	tpm
ENSMUST00000178537	12	13	0	0
ENSMUST00000178862	14	15	0	0
ENSMUST00000177564	16	17	0	0
ENSMUST00000179664	11	12	0	0
ENSMUST00000179883	16	17	0	0
ENSMUST00000195858	10	11	0	0
ENSMUST00000179932	12	13	0	0
ENSMUST00000180001	17	18	0	0
ENSMUST00000180266	17	18	0	0
ENSMUST00000103441	23	4	0	0
ENSMUST00000178815	10	11	0	0
ENSMUST00000177965	17	18	0	0
ENSMUST00000178909	29	10	0	0
ENSMUST00000177646	10	11	0	0
ENSMUST00000178230	17	18	0	0
ENSMUST00000178483	29	10	0	0
ENSMUST00000179262	10	11	0	0
ENSMUST00000178549	17	18	0	0
ENSMUST00000193012	29	10	0	0
ENSMUST00000179166	10	11	0	0
ENSMUST00000179560	17	18	0	0
ENSMUST00000179520	11	12	0	0
ENSMUST00000177839	17	18	0	0
ENSMUST00000103439	23	4	0	0
ENSMUST00000103586	357	196.408	0	0
ENSMUST00000181360	434	271.593	0	0
ENSMUST00000183652	344	183.887	0	0
ENSMUST00000103588	395	233.04	0	0
ENSMUST00000103674	445	282.565	0	0
ENSMUST00000181038	414	251.775	0	0
ENSMUST00000187138	340	180.218	0	0
ENSMUST00000180380	384	222.337	0	0
ENSMUST00000184905	264	111.323	0	0
ENSMUST00000180972	424	261.672	0	0
ENSMUST00000180859	621	458.123	0	0
ENSMUST00000103589	383	221.359	0	0
ENSMUST00000103616	417	254.775	0	0
ENSMUST00000186370	349	188.718	0	0
ENSMUST00000103636	401	238.946	0	0
ENSMUST00000103670	457	294.45	0	0
ENSMUST00000103263	560	397.163	0	0
ENSMUST00000103264	455	292.45	0	0
ENSMUST00000103637	369	207.941	0	0
ENSMUST00000180549	386	224.314	0	0
ENSMUST00000183604	305	147.743	0	0
ENSMUST00000103657	440	277.565	0	0
ENSMUST00000180938	359	198.329	0	0
ENSMUST00000103262	417	254.775	0	0
ENSMUST00000103672	453	290.45	0	0
ENSMUST00000186545	338	178.363	0	0
ENSMUST00000177622	401	238.946	0	0
ENSMUST00000103658	389	227.179	0	0
ENSMUST00000103265	393	231.064	0	0
ENSMUST00000103266	368	206.941	0	0
ENSMUST00000181483	345	184.849	0	0
ENSMUST00000184883	308	150.467	0	0
ENSMUST00000103673	327	168.011	0	0
ENSMUST00000186573	325	166.164	0	0
ENSMUST00000103676	416	253.775	0	0
ENSMUST00000187163	334	174.542	0	0
ENSMUST00000193064	367	205.962	0	0
ENSMUST00000103280	344	183.887	0	0
ENSMUST00000103281	353	192.526	0	0
ENSMUST00000179789	401	238.946	0	0
ENSMUST00000180717	376	214.621	0	0
ENSMUST00000183820	338	178.363	0	0
ENSMUST00000178768	449	286.537	0	0
ENSMUST00000103580	399	236.993	0	0
