target_id	length	eff_length	est_counts	tpm
ENSMUST00000178537	12	13	0	0
ENSMUST00000178862	14	15	0	0
ENSMUST00000177564	16	17	0	0
ENSMUST00000179664	11	12	0	0
ENSMUST00000179883	16	17	0	0
ENSMUST00000195858	10	11	0	0
ENSMUST00000179932	12	13	0	0
ENSMUST00000180001	17	18	0	0
ENSMUST00000180266	17	18	0	0
ENSMUST00000103441	23	24	0	0
ENSMUST00000178815	10	11	0	0
ENSMUST00000177965	17	18	0	0
ENSMUST00000178909	29	30	0	0
ENSMUST00000177646	10	11	0	0
ENSMUST00000178230	17	18	0	0
ENSMUST00000178483	29	30	0	0
ENSMUST00000179262	10	11	0	0
ENSMUST00000178549	17	18	0	0
ENSMUST00000193012	29	30	0	0
ENSMUST00000179166	10	11	0	0
ENSMUST00000179560	17	18	0	0
ENSMUST00000179520	11	12	0	0
ENSMUST00000177839	17	18	0	0
ENSMUST00000103439	23	24	0	0
ENSMUST00000103586	357	202.045	0	0
ENSMUST00000181360	434	277.433	0	0
ENSMUST00000183652	344	189.478	0	0
ENSMUST00000103588	395	238.917	0	0
ENSMUST00000103674	445	288.405	0	0
ENSMUST00000181038	414	257.619	0	0
ENSMUST00000187138	340	185.592	0	0
ENSMUST00000180380	384	228.196	0	0
ENSMUST00000184905	264	115.906	0	0
ENSMUST00000180972	424	267.487	0	0
ENSMUST00000180859	621	463.807	0	0
ENSMUST00000103589	383	227.196	0	0
ENSMUST00000103616	417	260.593	0	0
ENSMUST00000186370	349	194.265	0	0
ENSMUST00000103636	401	244.845	0	0
ENSMUST00000103670	457	300.259	0	0
ENSMUST00000103263	560	402.807	0	0
ENSMUST00000103264	455	298.318	0	0
ENSMUST00000103637	369	213.46	0	0
ENSMUST00000180549	386	230.105	0	0
ENSMUST00000183604	305	152.336	0	0
ENSMUST00000103657	440	283.405	0	0
ENSMUST00000180938	359	203.964	0	0
ENSMUST00000103262	417	260.593	0	0
ENSMUST00000103672	453	296.318	0	0
ENSMUST00000186545	338	183.666	0	0
ENSMUST00000177622	401	244.845	0	0
ENSMUST00000103658	389	233.012	0	0
ENSMUST00000103265	393	236.941	0	0
ENSMUST00000103266	368	212.502	0	0
ENSMUST00000181483	345	190.42	0	0
ENSMUST00000184883	308	155.132	0	0
ENSMUST00000103673	327	173.133	0	0
ENSMUST00000186573	325	171.308	0	0
ENSMUST00000103676	416	259.593	0	0
ENSMUST00000187163	334	179.794	0	0
ENSMUST00000193064	367	211.545	0	0
ENSMUST00000103280	344	189.478	0	0
ENSMUST00000103281	353	198.166	0	0
ENSMUST00000179789	401	244.845	0	0
ENSMUST00000180717	376	220.241	0	0
ENSMUST00000183820	338	183.666	0	0
ENSMUST00000178768	449	292.318	0	0
ENSMUST00000103580	399	242.869	0	0
